Fecha,EquipoLocalID,EquipoVisitID,GolesLocal,GolesVisit
12/5/23,BURGOS,LEGANES,0,3
13/5/23,GIJON,OVIEDO,1,1
13/5/23,GRANADA,LUGO,2,0
13/5/23,ZARAGOZA,CARTAGENA,2,0
13/5/23,MALAGA,MIRANDES,2,0
14/5/23,SANTANDER,EIBAR,1,0
14/5/23,ANDORRA,TENERIFE,1,0
14/5/23,ALBACETE,ALAVES,1,1
14/5/23,HUESCA,PONFERRADINA,1,1
14/5/23,PALMAS,VILLARREALB,1,1
15/5/23,LEVANTE,IBIZA,0,0
20/5/23,IBIZA,ZARAGOZA,1,0
20/5/23,LUGO,HUESCA,1,2
20/5/23,CARTAGENA,PALMAS,1,4
20/5/23,EIBAR,GIJON,2,2
20/5/23,PONFERRADINA,ALBACETE,1,1
20/5/23,MIRANDES,GRANADA,1,3
20/5/23,VILLARREALB,LEVANTE,2,3
20/5/23,ALAVES,MALAGA,2,1
20/5/23,TENERIFE,BURGOS,2,1
21/5/23,OVIEDO,SANTANDER,1,0
21/5/23,LEGANES,ANDORRA,1,1
26/5/23,ZARAGOZA,TENERIFE,1,1
27/5/23,BURGOS,LUGO,0,1
27/5/23,ANDORRA,VILLARREALB,4,3
27/5/23,ALBACETE,MIRANDES,2,1
27/5/23,MALAGA,IBIZA,1,1
27/5/23,GRANADA,LEGANES,2,0
27/5/23,HUESCA,EIBAR,0,1
27/5/23,LEVANTE,OVIEDO,2,1
27/5/23,PALMAS,ALAVES,0,0
28/5/23,GIJON,PONFERRADINA,1,4
28/5/23,SANTANDER,CARTAGENA,3,1
3/6/23,EIBAR,ALAVES,1,1
3/6/23,ALBACETE,LEVANTE,1,3
7/6/23,LEVANTE,ALBACETE,3,0
8/6/23,ALAVES,EIBAR,2,0
11/6/23,ALAVES,LEVANTE,0,0
17/6/23,LEVANTE,ALAVES,0,1
